model,roc_auc,pr_auc,thr_0.50_precision,thr_0.50_recall,thr_0.50_f1,thr_0.50_tp,thr_0.50_fp,thr_0.50_fn,thr_0.50_cost_per_tx,thr_cost_best,thr_cost_precision,thr_cost_recall,thr_cost_f1,thr_cost_tp,thr_cost_fp,thr_cost_fn,thr_cost_cost_per_tx,dropped_features,missing_features_filled
RandomForest,0.9612481229830143,0.8454869435226174,0.8404255319148937,0.8061224489795918,0.8229166666666666,79,15,19,0.006934447526421123,0.1864,0.6370370370370371,0.8775510204081632,0.7381974248927039,86,49,12,0.005073557810470138,,
LogReg,0.9720834996210077,0.7189705771419241,0.06097560975609756,0.9183673469387755,0.11435832274459974,90,1386,8,0.027140900951511535,0.9703999999999999,0.47802197802197804,0.8877551020408163,0.6214285714285714,87,95,11,0.00553000245777887,"Hour,hour_sin,hour_cos,Amount_log1p",
DecisionTree,0.8518122006821862,0.5118947182117115,0.7263157894736842,0.7040816326530612,0.7150259067357513,69,26,29,0.010638671394965065,0.01,0.7263157894736842,0.7040816326530612,0.7150259067357513,69,26,29,0.010638671394965065,,
