threshold,accuracy,precision,recall,f1,tp,fp,tn,fn,cost_per_tx
0.01,0.9415399740177662,0.026654950205038077,0.9285714285714286,0.051822323462414575,91,3323,53541,7,0.06079491590885151
0.019799999999999998,0.9734559882026614,0.055904522613065326,0.9081632653061225,0.10532544378698225,89,1503,55361,9,0.029546013131561393
0.0296,0.9830764369228608,0.08524904214559387,0.9081632653061225,0.15586690017513136,89,955,55909,9,0.01992556441136196
0.0394,0.9880797724798989,0.11725955204216074,0.9081632653061225,0.20770128354725786,89,670,56194,9,0.014922228854323935
0.0492,0.9908184403637512,0.14759535655058043,0.9081632653061225,0.25392296718972895,89,514,56350,9,0.012183560970471543
0.059000000000000004,0.9930304413468628,0.18526315789473685,0.8979591836734694,0.30715532286212915,88,387,56477,10,0.01030511569116253
0.0688,0.9951546645131842,0.24858757062146894,0.8979591836734694,0.3893805309734513,88,266,56598,10,0.008180892524841122
0.07859999999999999,0.9962255538780239,0.3003412969283277,0.8979591836734694,0.45012787723785164,88,205,56659,10,0.007110003160001405
0.08839999999999999,0.9970506653558513,0.35772357723577236,0.8979591836734694,0.5116279069767442,88,158,56706,10,0.006284891682174081
0.0982,0.997471998876444,0.3963963963963964,0.8979591836734694,0.55,88,134,56730,10,0.005863558161581405
0.108,0.9977002212000983,0.42105263157894735,0.8979591836734694,0.5732899022801303,88,121,56743,10,0.005635335837927039
0.11779999999999999,0.9979635546504687,0.4536082474226804,0.8979591836734694,0.6027397260273972,88,106,56758,10,0.005372002387556617
0.1276,0.9981742214107651,0.4835164835164835,0.8979591836734694,0.6285714285714286,88,94,56770,10,0.005161335627260279
0.1374,0.9983322214809873,0.5087719298245614,0.8877551020408163,0.6468401486988847,87,84,56780,11,0.00533689126084056
0.1472,0.9984902215512096,0.5375,0.8775510204081632,0.6666666666666666,86,74,56790,12,0.005512446894420842
0.157,0.9986131104947158,0.5620915032679739,0.8775510204081632,0.6852589641434262,86,67,56797,12,0.0053895579509146445
0.1668,0.998718443874864,0.5850340136054422,0.8775510204081632,0.7020408163265306,86,61,56803,12,0.005284224570766476
0.1766,0.9988413328183702,0.6142857142857143,0.8775510204081632,0.7226890756302521,86,54,56810,12,0.005161335627260279
0.1864,0.9989291106351603,0.6370370370370371,0.8775510204081632,0.7381974248927039,86,49,56815,12,0.005073557810470138
0.1962,0.9989993328885924,0.6589147286821705,0.8673469387755102,0.748898678414097,85,44,56820,13,0.00533689126084056
0.20600000000000002,0.9991397773954567,0.7024793388429752,0.8673469387755102,0.776255707762557,85,36,56828,13,0.005196446753976335
0.2158,0.9991573329588147,0.7083333333333334,0.8673469387755102,0.7798165137614679,85,35,56829,13,0.005178891190618307
0.2256,0.9992099996488887,0.7264957264957265,0.8673469387755102,0.7906976744186046,85,32,56832,13,0.005126224500544223
0.2354,0.9992275552122467,0.7368421052631579,0.8571428571428571,0.7924528301886793,84,30,56834,14,0.005442224640988729
0.2452,0.9992275552122467,0.7368421052631579,0.8571428571428571,0.7924528301886793,84,30,56834,14,0.005442224640988729
0.255,0.9992802219023208,0.7567567567567568,0.8571428571428571,0.8038277511961722,84,27,56837,14,0.0053895579509146445
0.2648,0.9993153330290369,0.7706422018348624,0.8571428571428571,0.8115942028985508,84,25,56839,14,0.005354446824198588
0.2746,0.9993328885923949,0.7777777777777778,0.8571428571428571,0.8155339805825242,84,24,56840,14,0.00533689126084056
0.2844,0.9993504441557529,0.7850467289719626,0.8571428571428571,0.8195121951219512,84,23,56841,14,0.005319335697482532
0.2942,0.9993504441557529,0.7850467289719626,0.8571428571428571,0.8195121951219512,84,23,56841,14,0.005319335697482532
0.304,0.9993504441557529,0.7850467289719626,0.8571428571428571,0.8195121951219512,84,23,56841,14,0.005319335697482532
0.3138,0.9993679997191109,0.7924528301886793,0.8571428571428571,0.8235294117647058,84,22,56842,14,0.005301780134124504
0.3236,0.999385555282469,0.8058252427184466,0.8469387755102041,0.8258706467661692,83,20,56844,15,0.005617780274569011
0.3334,0.9993679997191109,0.803921568627451,0.8367346938775511,0.82,82,20,56844,16,0.005968891541729574
0.3432,0.999385555282469,0.8118811881188119,0.8367346938775511,0.8241206030150754,82,19,56845,16,0.0059513359783715455
0.353,0.999385555282469,0.8118811881188119,0.8367346938775511,0.8241206030150754,82,19,56845,16,0.0059513359783715455
0.3628,0.999403110845827,0.82,0.8367346938775511,0.8282828282828283,82,18,56846,16,0.005933780415013518
0.3726,0.999420666409185,0.8282828282828283,0.8367346938775511,0.8324873096446701,82,17,56847,16,0.0059162248516554895
0.3824,0.999420666409185,0.8282828282828283,0.8367346938775511,0.8324873096446701,82,17,56847,16,0.0059162248516554895
0.3922,0.999420666409185,0.8282828282828283,0.8367346938775511,0.8324873096446701,82,17,56847,16,0.0059162248516554895
0.402,0.999420666409185,0.8282828282828283,0.8367346938775511,0.8324873096446701,82,17,56847,16,0.0059162248516554895
0.4118,0.999420666409185,0.8282828282828283,0.8367346938775511,0.8324873096446701,82,17,56847,16,0.0059162248516554895
0.4216,0.9994382219725431,0.8367346938775511,0.8367346938775511,0.8367346938775511,82,16,56848,16,0.005898669288297461
0.4314,0.9994557775359011,0.845360824742268,0.8367346938775511,0.841025641025641,82,15,56849,16,0.0058811137249394334
0.4412,0.9994557775359011,0.845360824742268,0.8367346938775511,0.841025641025641,82,15,56849,16,0.0058811137249394334
0.451,0.9994557775359011,0.845360824742268,0.8367346938775511,0.841025641025641,82,15,56849,16,0.0058811137249394334
0.4608,0.9994557775359011,0.845360824742268,0.8367346938775511,0.841025641025641,82,15,56849,16,0.0058811137249394334
0.4706,0.999420666409185,0.8421052631578947,0.8163265306122449,0.8290155440414507,80,15,56849,18,0.00658333625926056
0.4804,0.999403110845827,0.8404255319148937,0.8061224489795918,0.8229166666666666,79,15,56849,19,0.006934447526421123
0.49019999999999997,0.999403110845827,0.8404255319148937,0.8061224489795918,0.8229166666666666,79,15,56849,19,0.006934447526421123
0.5,0.999403110845827,0.8404255319148937,0.8061224489795918,0.8229166666666666,79,15,56849,19,0.006934447526421123
0.5097999999999999,0.999403110845827,0.8478260869565217,0.7959183673469388,0.8210526315789474,78,14,56850,20,0.007268003230223658
0.5196,0.9993679997191109,0.8444444444444444,0.7755102040816326,0.8085106382978723,76,14,56850,22,0.007970225764544784
0.5294,0.999385555282469,0.8539325842696629,0.7755102040816326,0.8128342245989305,76,13,56851,22,0.007952670201186757
0.5392,0.999385555282469,0.8539325842696629,0.7755102040816326,0.8128342245989305,76,13,56851,22,0.007952670201186757
0.549,0.999403110845827,0.8636363636363636,0.7755102040816326,0.8172043010752689,76,12,56852,22,0.007935114637828727
0.5588,0.999403110845827,0.872093023255814,0.7653061224489796,0.8152173913043478,75,11,56853,23,0.008268670341631264
0.5686,0.999403110845827,0.8809523809523809,0.7551020408163265,0.8131868131868132,74,10,56854,24,0.008602226045433798
0.5784,0.999403110845827,0.8809523809523809,0.7551020408163265,0.8131868131868132,74,10,56854,24,0.008602226045433798
0.5882,0.999403110845827,0.8809523809523809,0.7551020408163265,0.8131868131868132,74,10,56854,24,0.008602226045433798
0.598,0.999403110845827,0.8809523809523809,0.7551020408163265,0.8131868131868132,74,10,56854,24,0.008602226045433798
0.6078,0.999403110845827,0.8809523809523809,0.7551020408163265,0.8131868131868132,74,10,56854,24,0.008602226045433798
0.6176,0.999403110845827,0.8809523809523809,0.7551020408163265,0.8131868131868132,74,10,56854,24,0.008602226045433798
0.6274,0.999403110845827,0.8809523809523809,0.7551020408163265,0.8131868131868132,74,10,56854,24,0.008602226045433798
0.6372,0.999403110845827,0.8809523809523809,0.7551020408163265,0.8131868131868132,74,10,56854,24,0.008602226045433798
0.647,0.999403110845827,0.8902439024390244,0.7448979591836735,0.8111111111111111,73,9,56855,25,0.008935781749236333
0.6567999999999999,0.999385555282469,0.8888888888888888,0.7346938775510204,0.8044692737430168,72,9,56855,26,0.009286893016396897
0.6666,0.999385555282469,0.8888888888888888,0.7346938775510204,0.8044692737430168,72,9,56855,26,0.009286893016396897
0.6764,0.9993679997191109,0.8875,0.7244897959183674,0.797752808988764,71,9,56855,27,0.009638004283557459
0.6862,0.9993679997191109,0.8875,0.7244897959183674,0.797752808988764,71,9,56855,27,0.009638004283557459
0.696,0.9993504441557529,0.8860759493670886,0.7142857142857143,0.7909604519774012,70,9,56855,28,0.009989115550718023
0.7058,0.9993504441557529,0.8860759493670886,0.7142857142857143,0.7909604519774012,70,9,56855,28,0.009989115550718023
0.7156,0.9993679997191109,0.8974358974358975,0.7142857142857143,0.7954545454545454,70,8,56856,28,0.009971559987359994
0.7253999999999999,0.9993328885923949,0.8947368421052632,0.6938775510204082,0.7816091954022989,68,8,56856,30,0.01067378252168112
0.7352,0.9993153330290369,0.8933333333333333,0.6836734693877551,0.7745664739884393,67,8,56856,31,0.011024893788841684
0.745,0.9993153330290369,0.8933333333333333,0.6836734693877551,0.7745664739884393,67,8,56856,31,0.011024893788841684
0.7548,0.9993328885923949,0.9054054054054054,0.6836734693877551,0.7790697674418605,67,7,56857,31,0.011007338225483656
0.7646,0.9993328885923949,0.9054054054054054,0.6836734693877551,0.7790697674418605,67,7,56857,31,0.011007338225483656
0.7744,0.9993153330290369,0.9154929577464789,0.6632653061224489,0.7692307692307693,65,6,56858,33,0.011692005196446755
0.7842,0.9992977774656788,0.9142857142857143,0.6530612244897959,0.7619047619047619,64,6,56858,34,0.012043116463607317
0.794,0.9992802219023208,0.9130434782608695,0.6428571428571429,0.7544910179640718,63,6,56858,35,0.012394227730767881
0.8038,0.9992802219023208,0.9130434782608695,0.6428571428571429,0.7544910179640718,63,6,56858,35,0.012394227730767881
0.8136,0.9992802219023208,0.9130434782608695,0.6428571428571429,0.7544910179640718,63,6,56858,35,0.012394227730767881
0.8234,0.9993153330290369,0.9402985074626866,0.6428571428571429,0.7636363636363637,63,4,56860,35,0.012359116604051824
0.8331999999999999,0.9993328885923949,0.9545454545454546,0.6428571428571429,0.7682926829268293,63,3,56861,35,0.012341561040693796
0.843,0.9993153330290369,0.9538461538461539,0.6326530612244898,0.7607361963190185,62,3,56861,36,0.012692672307854359
0.8528,0.9993153330290369,0.9682539682539683,0.6224489795918368,0.7577639751552795,61,2,56862,37,0.013026228011656893
0.8626,0.9992977774656788,0.967741935483871,0.6122448979591837,0.75,60,2,56862,38,0.013377339278817457
0.8724,0.9992802219023208,0.9672131147540983,0.6020408163265306,0.7421383647798742,59,2,56862,39,0.013728450545978021
0.8822,0.9992802219023208,0.9672131147540983,0.6020408163265306,0.7421383647798742,59,2,56862,39,0.013728450545978021
0.892,0.9992802219023208,0.9672131147540983,0.6020408163265306,0.7421383647798742,59,2,56862,39,0.013728450545978021
0.9017999999999999,0.9992626663389628,0.9666666666666667,0.5918367346938775,0.7341772151898734,58,2,56862,40,0.014079561813138583
0.9116,0.9992451107756047,0.9661016949152542,0.5816326530612245,0.7261146496815286,57,2,56862,41,0.014430673080299147
0.9214,0.9992275552122467,0.9655172413793104,0.5714285714285714,0.717948717948718,56,2,56862,42,0.01478178434745971
0.9312,0.9991924440855307,0.9642857142857143,0.5510204081632653,0.7012987012987013,54,2,56862,44,0.015484006881780836
0.941,0.9991397773954567,0.9622641509433962,0.5204081632653061,0.6754966887417219,51,2,56862,47,0.016537340683262527
0.9508,0.9991222218320986,0.9615384615384616,0.5102040816326531,0.6666666666666666,50,2,56862,48,0.01688845195042309
0.9606,0.9991222218320986,0.98,0.5,0.6621621621621622,49,1,56863,49,0.017222007654225623
0.9703999999999999,0.9990519995786665,0.9782608695652174,0.45918367346938777,0.625,45,1,56863,53,0.01862645272286788
0.9802,0.9988413328183702,0.9705882352941176,0.336734693877551,0.5,33,1,56863,65,0.022839787928794635
0.99,0.9986482216214319,1.0,0.21428571428571427,0.35294117647058826,21,0,56864,77,0.027035567571363366
