threshold,precision,recall,f1,specificity,balanced_accuracy,tp,fp,tn,fn,cost_per_tx
0.01,0.002421912062120796,0.9897959183673469,0.0048320007970310596,0.2973761958356781,0.6435860571015125,97,39954,16910,1,0.7017660896738176
0.019799999999999998,0.0030911408540471638,0.9897959183673469,0.006163034500285914,0.4498628306133934,0.7198293744903701,97,31283,25581,1,0.5495417997963554
0.0296,0.0037290242386575512,0.9795918367346939,0.007429765498026469,0.5489589195272933,0.7642753781309936,96,25648,31216,2,0.45096731154102737
0.0394,0.004282850373610351,0.9591836734693877,0.008527624058786175,0.6156795160382668,0.7874315947538273,94,21854,35010,4,0.3850637266949896
0.0492,0.0049377527971844306,0.9591836734693877,0.009824928142147896,0.6668718345526168,0.8130277540110022,94,18943,37921,4,0.3339594817597697
0.059000000000000004,0.00555654075781758,0.9591836734693877,0.011049074346165148,0.7041537703995497,0.8316687219344687,94,16823,40041,4,0.29674168744074997
0.0688,0.006118823606816238,0.9489795918367347,0.012159246911159051,0.7343486212718064,0.8416641065542706,93,15106,41758,5,0.2669498964221762
0.07859999999999999,0.006768066370715377,0.9489795918367347,0.013440277476696292,0.7599887450759708,0.8544841684563528,93,13648,43216,5,0.24135388504617114
0.08839999999999999,0.007369839131468421,0.9489795918367347,0.014626091059212079,0.7797200337647721,0.8643498128007534,93,12526,44338,5,0.22165654295846354
0.0982,0.008013096674134069,0.9489795918367347,0.015892002734108,0.7975344682048396,0.8732570300207871,93,11513,45351,5,0.203872757276781
0.108,0.008712759977515458,0.9489795918367347,0.01726698848867434,0.8139244513224536,0.8814520215795942,93,10581,46283,5,0.18751097222709875
0.11779999999999999,0.009434919346657198,0.9489795918367347,0.01868407835258664,0.8282920652785594,0.888635828557647,93,9764,47100,5,0.17316807696358977
0.1276,0.010168379619505796,0.9489795918367347,0.020121159671138037,0.8407955824423186,0.8948875871395267,93,9053,47811,5,0.16068607141603175
0.1374,0.010981225646475381,0.9489795918367347,0.02171121746235555,0.8527011817670231,0.900840386801879,93,8376,48488,5,0.14880095502264667
0.1472,0.011746873815839333,0.9489795918367347,0.023206487835308796,0.8624085537422622,0.9056940727894984,93,7824,49040,5,0.13911028404901513
