run,thr_meets_precision_constraint,thr_val_precision,thr_val_recall,threshold,pr_auc,roc_auc,precision,recall,tp,fp,fn,tn
baseline,True,0.9111111111111111,0.8723404255319149,0.5390368103981018,0.8266701031893956,0.9731569749779119,0.95,0.8,76,4,19,56647
engineered,True,0.9130434782608695,0.8936170212765957,0.4140876829624176,0.8156512078041863,0.966639879074927,0.8837209302325582,0.8,76,10,19,56641
