seed,run,thr_meets_precision_constraint,thr_val_precision,thr_val_recall,threshold,pr_auc,roc_auc,precision,recall,tp,fp,fn,tn
41,baseline,True,0.9111111111111111,0.8723404255319149,0.945641815662384,0.8337933262598367,0.9684223533007733,0.9722222222222222,0.7368421052631579,70,2,25,56649
41,engineered,True,0.9111111111111111,0.8723404255319149,0.7970258593559265,0.8216700810442875,0.9710000938339918,0.9375,0.7894736842105263,75,5,20,56646
42,baseline,True,0.9111111111111111,0.8723404255319149,0.9510266780853271,0.8374217061710556,0.9688467430778851,0.9861111111111112,0.7473684210526316,71,1,24,56650
42,engineered,True,0.9111111111111111,0.8723404255319149,0.9071721434593201,0.8173383841874985,0.9791709906175299,0.9733333333333334,0.7684210526315789,73,2,22,56649
43,baseline,True,0.9111111111111111,0.8723404255319149,0.8687092065811157,0.8349691439162592,0.975281896821629,0.9605263157894737,0.7684210526315789,73,3,22,56648
43,engineered,True,0.9111111111111111,0.8723404255319149,0.8880223631858826,0.819086237680883,0.9732121605137272,0.9605263157894737,0.7684210526315789,73,3,22,56648
