mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
166.3344783782959,4.726295098886213,0.933831532796224,0.0838328156421857,200,10,1,sqrt,12,balanced,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 12, 'class_weight': 'balanced'}",0.8028257181844901,0.8440837230542788,0.8445341550944195,0.8304811987777295,0.019556242437100507,1
137.95608321825662,3.5182243948655874,1.100289026896159,0.03247089579635702,200,10,1,log2,12,balanced,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 12, 'class_weight': 'balanced'}",0.7922629371835876,0.8428150837860277,0.8423074748656723,0.8257951652784291,0.023711771443137214,2
174.34741957982382,7.698338045460467,1.2339619795481365,0.22933079815045618,200,20,5,sqrt,,balanced,"{'n_estimators': 200, 'min_samples_split': 20, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': None, 'class_weight': 'balanced'}",0.7863782180893806,0.8456225039084743,0.8404001942958206,0.8241336387645585,0.02678210810961106,3
260.55099590619403,26.65315611843422,1.247390906016032,0.5084457797524904,400,10,1,log2,12,balanced,"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 12, 'class_weight': 'balanced'}",0.7860079606003754,0.8426134675414644,0.843495133501334,0.8240388538810578,0.026894311251157394,4
177.23001718521118,5.670735172418618,1.091423511505127,0.04115260929229419,200,20,5,sqrt,16,balanced,"{'n_estimators': 200, 'min_samples_split': 20, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 16, 'class_weight': 'balanced'}",0.7877395402397086,0.8453283218747804,0.8381697877402516,0.8237458832849135,0.025627507452677174,5
138.97233295440674,2.8847548426256155,1.0853147506713867,0.20718806185961786,200,10,5,log2,16,balanced,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'log2', 'max_depth': 16, 'class_weight': 'balanced'}",0.7799053636226598,0.8512640632269421,0.8333389472729399,0.8215027913741806,0.030310470601739272,6
273.6214420000712,10.119678372600795,2.2182238896687827,0.1769402430018229,400,20,5,log2,16,balanced,"{'n_estimators': 400, 'min_samples_split': 20, 'min_samples_leaf': 5, 'max_features': 'log2', 'max_depth': 16, 'class_weight': 'balanced'}",0.7794098181440926,0.8436722953757906,0.8292061155365872,0.8174294096854902,0.027524953472755992,7
139.16215507189432,4.527306138454634,1.3172709941864014,0.17062348718649153,200,20,10,log2,16,balanced,"{'n_estimators': 200, 'min_samples_split': 20, 'min_samples_leaf': 10, 'max_features': 'log2', 'max_depth': 16, 'class_weight': 'balanced'}",0.7520039589933306,0.8252446687982371,0.7993401871539799,0.7921962716485158,0.03032410526015608,8
428.23420397440594,25.481495136314685,2.036245346069336,0.027028386511363283,600,2,10,sqrt,16,balanced,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': 16, 'class_weight': 'balanced'}",0.7543629129900017,0.8184968416758814,0.7839926054209431,0.7856174533622754,0.026207763484582404,9
286.14327994982403,14.880086977870024,1.8395624160766602,0.2349813683508669,400,2,10,sqrt,8,balanced,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': 8, 'class_weight': 'balanced'}",0.7541416816480356,0.8165507065173833,0.7761222526998027,0.7822715469550738,0.025846753002574562,10
