Model,Accuracy,Precision_fraud,Recall_fraud,F1_fraud,ROC_AUC
LogisticRegression,,0.06097560975609756,0.9183673469387755,0.11435832274459974,0.9720834996210077
DecisionTree_tuned,0.955672202520979,0.03344867358708189,0.8877551020408163,0.0644683216005928,0.9456269810963214
