mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3.2757996718088784,0.03380675987858097,0.041475375493367515,0.002345912791802441,balanced,3,10,2,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 2}",0.7755102040816326,0.9285714285714286,0.8787878787878788,0.8609565038136466,0.06374638845028888,1
3.1852386792500815,0.057656110986232446,0.0368189811706543,0.0025169610193126546,balanced,3,5,50,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 50}",0.7755102040816326,0.9285714285714286,0.8787878787878788,0.8609565038136466,0.06374638845028888,1
3.1585563818613687,0.03491316850137174,0.03525137901306152,0.00044902226214522863,balanced,3,10,50,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.7755102040816326,0.9285714285714286,0.8787878787878788,0.8609565038136466,0.06374638845028888,1
3.2479447523752847,0.04153084809319398,0.03888861338297526,0.004285687960306739,balanced,3,10,10,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 10}",0.7755102040816326,0.9285714285714286,0.8787878787878788,0.8609565038136466,0.06374638845028888,1
3.171716849009196,0.011561973561664936,0.03847686449686686,0.005001264945862218,balanced,3,1,50,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 50}",0.7755102040816326,0.9285714285714286,0.8787878787878788,0.8609565038136466,0.06374638845028888,1
3.181403080622355,0.02209296231783955,0.03907370567321777,0.005898995869304594,balanced,3,5,2,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.7755102040816326,0.9285714285714286,0.8686868686868687,0.8575895004466433,0.06297776484322756,6
3.1762824853261313,0.03420228241749761,0.03792675336201986,0.004797907953546235,balanced,3,1,10,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.7755102040816326,0.9285714285714286,0.8686868686868687,0.8575895004466433,0.06297776484322756,6
3.520724376042684,0.42858935395607245,0.039157708485921226,0.0075438104013656184,balanced,3,1,2,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7755102040816326,0.9285714285714286,0.8686868686868687,0.8575895004466433,0.06297776484322756,6
3.1290231545766196,0.01577826849961276,0.039492130279541016,0.0023994420452210664,balanced,3,5,10,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.7755102040816326,0.9285714285714286,0.8686868686868687,0.8575895004466433,0.06297776484322756,6
5.1593442757924395,0.07301506850810817,0.04555781682332357,0.005698360976758585,balanced,5,1,50,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 50}",0.7755102040816326,0.9081632653061225,0.8585858585858586,0.8474197759912045,0.05472793140277359,10
5.434626340866089,0.23663130833132479,0.04230721791585287,0.005589502986882884,balanced,5,5,50,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 50}",0.7755102040816326,0.9081632653061225,0.8585858585858586,0.8474197759912045,0.05472793140277359,10
5.742017507553101,0.18363694826072713,0.03968938191731771,0.0008145134813439007,balanced,5,10,2,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_leaf': 10, 'min_samples_split': 2}",0.7755102040816326,0.9081632653061225,0.8585858585858586,0.8474197759912045,0.05472793140277359,10
5.32660190264384,0.14987799435161053,0.03869446118672689,0.0037587906845325137,balanced,5,10,10,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_leaf': 10, 'min_samples_split': 10}",0.7755102040816326,0.9081632653061225,0.8585858585858586,0.8474197759912045,0.05472793140277359,10
5.20736026763916,0.17805357343825162,0.03741908073425293,0.0038540290869225773,balanced,5,10,50,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.7755102040816326,0.9081632653061225,0.8585858585858586,0.8474197759912045,0.05472793140277359,10
