threshold,precision,recall,f1,specificity,balanced_accuracy,tp,fp,tn,fn,cost_per_tx
0.01,0.058027079303675046,0.9183673469387755,0.1091570648878108,0.9743071187394485,0.946337232839112,90,1461,55403,8,0.028457568203363644
0.019799999999999998,0.17357001972386588,0.8979591836734694,0.2909090909090909,0.992631541924592,0.9452953627990307,88,419,56445,10,0.01086689371861943
0.0296,0.31095406360424027,0.8979591836734694,0.46194225721784776,0.996570765334834,0.9472649745041517,88,195,56669,10,0.006934447526421123
0.0394,0.4536082474226804,0.8979591836734694,0.6027397260273972,0.9981359032076533,0.9480475434405613,88,106,56758,10,0.005372002387556617
0.0492,0.5333333333333333,0.8979591836734694,0.6692015209125475,0.9986458919527293,0.9483025378130994,88,77,56787,10,0.0048628910501738
0.059000000000000004,0.5878378378378378,0.8877551020408163,0.7073170731707317,0.9989272650534609,0.9433411835471386,87,61,56803,11,0.004933113303605912
0.0688,0.6214285714285714,0.8877551020408163,0.7310924369747899,0.9990679516038267,0.9434115268223215,87,53,56811,11,0.004792668796741687
0.07859999999999999,0.6541353383458647,0.8877551020408163,0.7532467532467533,0.9991910523353967,0.9434730771881066,87,46,56818,11,0.004669779853235491
0.08839999999999999,0.6744186046511628,0.8877551020408163,0.7665198237885462,0.9992613956105796,0.943508248825698,87,42,56822,11,0.004599557599803378
0.0982,0.6771653543307087,0.8775510204081632,0.7644444444444445,0.9992789814293753,0.9384150009187693,86,41,56823,12,0.004933113303605912
0.108,0.688,0.8775510204081632,0.7713004484304933,0.9993141530669668,0.938432586737565,86,39,56825,12,0.004898002176889856
0.11779999999999999,0.7107438016528925,0.8775510204081632,0.7853881278538812,0.9993844963421497,0.9384677583751564,86,35,56829,12,0.004827779923457743
0.1276,0.7288135593220338,0.8775510204081632,0.7962962962962963,0.9994372537985369,0.9384941371033501,86,32,56832,12,0.004775113233383659
0.1374,0.7478260869565218,0.8775510204081632,0.8075117370892019,0.999490011254924,0.9385205158315436,86,29,56835,12,0.004722446543309575
0.1472,0.7543859649122807,0.8775510204081632,0.8113207547169812,0.9995075970737197,0.9385293087409414,86,28,56836,12,0.004704890979951547
0.157,0.7543859649122807,0.8775510204081632,0.8113207547169812,0.9995075970737197,0.9385293087409414,86,28,56836,12,0.004704890979951547
0.1668,0.7747747747747747,0.8775510204081632,0.8229665071770335,0.9995603545301069,0.9385556874691351,86,25,56839,12,0.004652224289877462
0.1766,0.7747747747747747,0.8775510204081632,0.8229665071770335,0.9995603545301069,0.9385556874691351,86,25,56839,12,0.004652224289877462
0.1864,0.7747747747747747,0.8775510204081632,0.8229665071770335,0.9995603545301069,0.9385556874691351,86,25,56839,12,0.004652224289877462
0.1962,0.7747747747747747,0.8775510204081632,0.8229665071770335,0.9995603545301069,0.9385556874691351,86,25,56839,12,0.004652224289877462
0.20600000000000002,0.7727272727272727,0.8673469387755102,0.8173076923076923,0.9995603545301069,0.9334536466528085,85,25,56839,13,0.005003335557038025
0.2158,0.7870370370370371,0.8673469387755102,0.8252427184466019,0.9995955261676984,0.9334712324716044,85,23,56841,13,0.004968224430321969
0.2256,0.8018867924528302,0.8673469387755102,0.8333333333333334,0.9996306978052898,0.9334888182904,85,21,56843,13,0.004933113303605912
0.2354,0.8095238095238095,0.8673469387755102,0.8374384236453202,0.9996482836240855,0.9334976111997979,85,20,56844,13,0.004915557740247885
0.2452,0.8076923076923077,0.8571428571428571,0.8316831683168316,0.9996482836240855,0.9283955703834713,84,20,56844,14,0.005266669007408448
0.255,0.8155339805825242,0.8571428571428571,0.835820895522388,0.9996658694428813,0.9284043632928691,84,19,56845,14,0.005249113444050419
0.2648,0.8155339805825242,0.8571428571428571,0.835820895522388,0.9996658694428813,0.9284043632928691,84,19,56845,14,0.005249113444050419
0.2746,0.8235294117647058,0.8571428571428571,0.84,0.999683455261677,0.928413156202267,84,18,56846,14,0.005231557880692392
0.2844,0.8316831683168316,0.8571428571428571,0.8442211055276382,0.9997010410804728,0.928421949111665,84,17,56847,14,0.005214002317334363
0.2942,0.8484848484848485,0.8571428571428571,0.8527918781725888,0.9997362127180641,0.9284395349304606,84,15,56849,14,0.005178891190618307
0.304,0.8484848484848485,0.8571428571428571,0.8527918781725888,0.9997362127180641,0.9284395349304606,84,15,56849,14,0.005178891190618307
0.3138,0.8736842105263158,0.8469387755102041,0.8601036269430051,0.9997889701744513,0.9233638728423277,83,12,56852,15,0.005477335767704786
0.3236,0.8723404255319149,0.8367346938775511,0.8541666666666666,0.9997889701744513,0.9182618320260012,82,12,56852,16,0.005828447034865349
0.3334,0.8913043478260869,0.8367346938775511,0.8631578947368421,0.9998241418120428,0.9182794178447969,82,10,56854,16,0.005793335908149293
0.3432,0.8913043478260869,0.8367346938775511,0.8631578947368421,0.9998241418120428,0.9182794178447969,82,10,56854,16,0.005793335908149293
0.353,0.8901098901098901,0.826530612244898,0.8571428571428571,0.9998241418120428,0.9131773770284703,81,10,56854,17,0.006144447175309856
0.3628,0.9101123595505618,0.826530612244898,0.8663101604278075,0.9998593134496342,0.9131949628472661,81,8,56856,17,0.006109336048593799
0.3726,0.9204545454545454,0.826530612244898,0.8709677419354839,0.9998768992684299,0.9132037557566639,81,7,56857,17,0.0060917804852357715
0.3824,0.9310344827586207,0.826530612244898,0.8756756756756757,0.9998944850872257,0.9132125486660618,81,6,56858,17,0.006074224921877743
0.3922,0.9310344827586207,0.826530612244898,0.8756756756756757,0.9998944850872257,0.9132125486660618,81,6,56858,17,0.006074224921877743
0.402,0.9302325581395349,0.8163265306122449,0.8695652173913043,0.9998944850872257,0.9081105078497353,80,6,56858,18,0.006425336189038306
0.4118,0.9302325581395349,0.8163265306122449,0.8695652173913043,0.9998944850872257,0.9081105078497353,80,6,56858,18,0.006425336189038306
0.4216,0.9302325581395349,0.8163265306122449,0.8695652173913043,0.9998944850872257,0.9081105078497353,80,6,56858,18,0.006425336189038306
